Time,Hot Water,Space Heat,Electricity,Charge
63,184.1804884,5117.42858,251.2835,300
64,252.7232615,5360.408479,1078.863,300
65,184.1804884,5488.469223,815.6095,300
66,184.1804884,5370.073986,629.20325,300
67,401.2326034,5340.024804,566.45475,300
68,184.1804884,5606.327228,710.23775,300
69,184.1804884,5783.013673,717.441,300
70,247.0113638,6104.090459,897.316,300
71,2006.275875,4247.091496,561.59475,300
72,200.1738021,1330.011317,570.12275,300
73,184.464422,2571.762803,389.946,300
74,184.4652129,3372.479371,336.10475,300
75,184.4652129,3889.626989,251.209,300
76,184.4652129,4239.388945,239.88425,300
77,184.4652129,4453.01646,237.21225,300
78,184.4652129,4534.048737,391.67075,300
79,282.0989671,6545.708049,361.11725,300
80,201.0553235,9330.529241,826.88925,300
81,184.4652129,8237.872643,681.90775,300
82,184.4652129,7581.757752,1240.87425,300
83,184.4652129,6872.781682,242.2765,300
84,184.4652129,6421.239068,291.4145,300
85,184.4652129,5988.593345,540.25825,300
86,184.4652129,5559.797198,599.469,300
87,184.4652129,5700.40395,787.45525,300
88,184.4652129,5707.574274,372.1795,300
89,184.4652129,5571.20667,539.653,300
90,184.4652129,5249.521239,740.88325,300
91,184.4652129,5065.63245,603.3065,300
92,967.0607736,4883.091986,745.12875,300
93,184.4652129,4867.307949,489.78425,300
94,184.4652129,4954.048512,466.64325,300
95,2140.954115,3083.212395,355.04325,300
96,184.4652129,382.362841,275.31675,300
97,184.7453304,1411.449169,223.50625,300
98,184.7461106,2322.412352,246.17875,300
99,184.7461106,2935.802183,248.1295,300
100,184.7461106,3352.910253,262.77125,300
101,184.7461106,3497.23707,249.73025,300
102,1116.734875,3489.606366,263.9505,300
103,222.1784462,5720.75215,409.95125,300
104,206.8999419,8764.0713,386.4135,300
105,184.7461106,7578.937137,316.51325,300
106,184.7461106,6808.031126,227.43875,300
107,184.7461106,6169.396407,611.689,300
108,358.1571348,5557.259538,514.55075,300
109,762.2735743,5268.286429,461.37925,300
110,264.9582584,4897.898005,300.7285,300
111,184.7461106,4644.419173,316.54425,300
112,184.7461106,4712.70969,543.394,300
113,184.7461106,4607.278207,534.135,300
114,184.7461106,4416.669511,470.127,300
115,232.109474,4232.227169,520.4135,300
116,184.7461106,4002.495618,442.279,300
117,184.7461106,3855.910242,703.26525,300
118,184.7461106,3928.843271,563.48175,300
119,184.7461106,2441.172535,639.8745,300
120,184.7461106,0,289.7895,300
121,185.0223593,88.87553947,241.257,300
122,185.0231288,528.8991166,246.322,300
123,185.0231288,1203.73131,242.60225,300
124,185.0231288,1659.615705,225.99525,300
125,185.0231288,2043.836335,209.0765,300
126,185.0231288,2502.036725,241.24575,300
127,885.0628072,4841.286287,241.50325,300
128,1217.868556,7846.124828,241.8785,300
129,185.0231288,7012.241237,771.61375,300
130,185.0231288,6132.624513,686.828,300
131,1881.184841,5291.722809,1324.69725,300
132,3171.85909,4240.973156,459.7015,300
133,2746.479788,3146.322662,1202.13775,300
